Rep,Month,Actual Revenue (ZAR),Target Revenue (ZAR),Achievement %,Base Commission (ZAR),Bonus Rate Applied,Bonus (ZAR),Total Commission (ZAR)
House Account,2025-07-01,5966.79,0.0,0.0,298.34,0.0,0.0,298.34
House Account,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House Account,2025-09-01,3023.08,0.0,0.0,151.15,0.0,0.0,151.15
House Account,2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House Account,2025-11-01,4331.17,0.0,0.0,216.56,0.0,0.0,216.56
House Account,2025-12-01,4391.23,0.0,0.0,219.56,0.0,0.0,219.56
Johan Pretorius,2025-07-01,3434.6,0.0,0.0,171.73,0.0,0.0,171.73
Johan Pretorius,2025-08-01,3095.9,0.0,0.0,154.8,0.0,0.0,154.8
Johan Pretorius,2025-09-01,5857.66,0.0,0.0,292.88,0.0,0.0,292.88
Johan Pretorius,2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johan Pretorius,2025-11-01,1941.19,0.0,0.0,97.06,0.0,0.0,97.06
Johan Pretorius,2025-12-01,3844.12,0.0,0.0,192.21,0.0,0.0,192.21
Kabelo Sithole,2025-07-01,4587.07,0.0,0.0,229.35,0.0,0.0,229.35
Kabelo Sithole,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kabelo Sithole,2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kabelo Sithole,2025-10-01,8564.4,0.0,0.0,428.22,0.0,0.0,428.22
Kabelo Sithole,2025-11-01,738.28,0.0,0.0,36.91,0.0,0.0,36.91
Kabelo Sithole,2025-12-01,3131.01,0.0,0.0,156.55,0.0,0.0,156.55
Lindiwe Zulu,2025-07-01,1351.8,0.0,0.0,67.59,0.0,0.0,67.59
Lindiwe Zulu,2025-08-01,4100.97,0.0,0.0,205.05,0.0,0.0,205.05
Lindiwe Zulu,2025-09-01,4641.99,0.0,0.0,232.1,0.0,0.0,232.1
Lindiwe Zulu,2025-10-01,3176.62,0.0,0.0,158.83,0.0,0.0,158.83
Lindiwe Zulu,2025-11-01,8335.5,0.0,0.0,416.78,0.0,0.0,416.78
Lindiwe Zulu,2025-12-01,3497.24,0.0,0.0,174.86,0.0,0.0,174.86
Michael van der Berg,2025-07-01,3289.7999999999997,0.0,0.0,164.49,0.0,0.0,164.49
Michael van der Berg,2025-08-01,8503.81,0.0,0.0,425.19,0.0,0.0,425.19
Michael van der Berg,2025-09-01,4445.03,0.0,0.0,222.25,0.0,0.0,222.25
Michael van der Berg,2025-10-01,3223.54,0.0,0.0,161.18,0.0,0.0,161.18
Michael van der Berg,2025-11-01,5139.9400000000005,0.0,0.0,257.0,0.0,0.0,257.0
Michael van der Berg,2025-12-01,8375.62,0.0,0.0,418.78,0.0,0.0,418.78
Naledi Mokoena,2025-07-01,4328.07,0.0,0.0,216.4,0.0,0.0,216.4
Naledi Mokoena,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naledi Mokoena,2025-09-01,4083.96,0.0,0.0,204.2,0.0,0.0,204.2
Naledi Mokoena,2025-10-01,1780.16,0.0,0.0,89.01,0.0,0.0,89.01
Naledi Mokoena,2025-11-01,6853.19,0.0,0.0,342.66,0.0,0.0,342.66
Naledi Mokoena,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palesa Mahlangu,2025-07-01,2387.69,0.0,0.0,119.38,0.0,0.0,119.38
Palesa Mahlangu,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palesa Mahlangu,2025-09-01,3184.27,0.0,0.0,159.21,0.0,0.0,159.21
Palesa Mahlangu,2025-10-01,34218.14,27256.82,125.5,1710.91,0.03,1026.54,2737.45
Palesa Mahlangu,2025-11-01,94063.53,116972.1,80.4,4703.18,0.01,940.64,5643.820000000001
Palesa Mahlangu,2025-12-01,196440.51,209029.0,94.0,9822.03,0.01,1964.41,11786.44
Precious Nkosi,2025-07-01,11699.810000000001,0.0,0.0,584.99,0.0,0.0,584.99
Precious Nkosi,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precious Nkosi,2025-09-01,4242.45,0.0,0.0,212.12,0.0,0.0,212.12
Precious Nkosi,2025-10-01,1863.46,0.0,0.0,93.17,0.0,0.0,93.17
Precious Nkosi,2025-11-01,1665.53,0.0,0.0,83.28,0.0,0.0,83.28
Precious Nkosi,2025-12-01,2369.26,0.0,0.0,118.46,0.0,0.0,118.46
Refilwe Dube,2025-07-01,4786.74,3093.09,154.8,239.34,0.03,143.6,382.94
Refilwe Dube,2025-08-01,1732.97,0.0,0.0,86.65,0.0,0.0,86.65
Refilwe Dube,2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refilwe Dube,2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refilwe Dube,2025-11-01,5589.469999999999,0.0,0.0,279.47,0.0,0.0,279.47
Refilwe Dube,2025-12-01,743.19,0.0,0.0,37.16,0.0,0.0,37.16
Thandeka Ngcobo,2025-07-01,3417.2000000000003,777.7800000000001,439.4,170.86,0.03,102.52,273.38
Thandeka Ngcobo,2025-08-01,4721.7,0.0,0.0,236.08,0.0,0.0,236.08
Thandeka Ngcobo,2025-09-01,6245.03,0.0,0.0,312.25,0.0,0.0,312.25
Thandeka Ngcobo,2025-10-01,17343.53,16810.28,103.2,867.18,0.02,346.87,1214.05
Thandeka Ngcobo,2025-11-01,16994.19,13937.69,121.9,849.71,0.03,509.83,1359.54
Thandeka Ngcobo,2025-12-01,19561.61,19642.47,99.6,978.08,0.01,195.62,1173.7
Werner Botha,2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Werner Botha,2025-08-01,4038.44,0.0,0.0,201.92,0.0,0.0,201.92
Werner Botha,2025-09-01,1617.46,0.0,0.0,80.87,0.0,0.0,80.87
Werner Botha,2025-10-01,4978.07,0.0,0.0,248.9,0.0,0.0,248.9
Werner Botha,2025-11-01,7494.6,0.0,0.0,374.73,0.0,0.0,374.73
Werner Botha,2025-12-01,7099.380000000001,0.0,0.0,354.97,0.0,0.0,354.97
Zanele Mokwena,2025-07-01,6760.93,0.0,0.0,338.05,0.0,0.0,338.05
Zanele Mokwena,2025-08-01,6660.37,0.0,0.0,333.02,0.0,0.0,333.02
Zanele Mokwena,2025-09-01,2630.93,0.0,0.0,131.55,0.0,0.0,131.55
Zanele Mokwena,2025-10-01,7567.8099999999995,0.0,0.0,378.39,0.0,0.0,378.39
Zanele Mokwena,2025-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zanele Mokwena,2025-12-01,6108.92,0.0,0.0,305.45,0.0,0.0,305.45
