Month,Rep,Category,Actual Revenue (ZAR)
2025-08-01,Kabelo Sithole,Records Management - New,0.0
2025-09-01,Kabelo Sithole,Records Management - New,0.0
2025-10-01,Kabelo Sithole,Records Management - New,0.0
2025-11-01,Kabelo Sithole,Records Management - New,0.0
2025-12-01,Kabelo Sithole,Records Management - New,1214.49
2025-07-01,Kabelo Sithole,Records Management - Ongoing,0.0
2025-08-01,Kabelo Sithole,Records Management - Ongoing,0.0
2025-09-01,Kabelo Sithole,Records Management - Ongoing,0.0
2025-10-01,Kabelo Sithole,Records Management - Ongoing,2333.61
2025-11-01,Kabelo Sithole,Records Management - Ongoing,0.0
2025-12-01,Kabelo Sithole,Records Management - Ongoing,1916.52
2025-07-01,Kabelo Sithole,Software Integration and Related Services,2652.15
2025-08-01,Kabelo Sithole,Software Integration and Related Services,0.0
2025-09-01,Kabelo Sithole,Software Integration and Related Services,0.0
2025-10-01,Kabelo Sithole,Software Integration and Related Services,1620.84
2025-11-01,Kabelo Sithole,Software Integration and Related Services,738.28
2025-12-01,Kabelo Sithole,Software Integration and Related Services,0.0
2025-07-01,Refilwe Dube,Backup Storage & Management,0.0
2025-08-01,Refilwe Dube,Backup Storage & Management,0.0
2025-09-01,Refilwe Dube,Backup Storage & Management,0.0
2025-10-01,Refilwe Dube,Backup Storage & Management,0.0
2025-11-01,Refilwe Dube,Backup Storage & Management,4456.65
2025-12-01,Refilwe Dube,Backup Storage & Management,0.0
2025-07-01,Refilwe Dube,Image Processing,0.0
2025-08-01,Refilwe Dube,Image Processing,0.0
2025-09-01,Refilwe Dube,Image Processing,0.0
2025-10-01,Refilwe Dube,Image Processing,0.0
2025-11-01,Refilwe Dube,Image Processing,1132.82
2025-12-01,Refilwe Dube,Image Processing,743.19
2025-07-01,Refilwe Dube,Records Management - New,3260.22
2025-08-01,Refilwe Dube,Records Management - New,0.0
2025-09-01,Refilwe Dube,Records Management - New,0.0
2025-10-01,Refilwe Dube,Records Management - New,0.0
2025-11-01,Refilwe Dube,Records Management - New,0.0
2025-12-01,Refilwe Dube,Records Management - New,0.0
2025-07-01,Refilwe Dube,Records Management - Ongoing,1526.52
2025-08-01,Refilwe Dube,Records Management - Ongoing,1732.97
2025-09-01,Refilwe Dube,Records Management - Ongoing,0.0
2025-10-01,Refilwe Dube,Records Management - Ongoing,0.0
2025-11-01,Refilwe Dube,Records Management - Ongoing,0.0
2025-12-01,Refilwe Dube,Records Management - Ongoing,0.0
2025-07-01,Refilwe Dube,Software Integration and Related Services,0.0
2025-08-01,Refilwe Dube,Software Integration and Related Services,0.0
2025-09-01,Refilwe Dube,Software Integration and Related Services,0.0
2025-10-01,Refilwe Dube,Software Integration and Related Services,0.0
2025-11-01,Refilwe Dube,Software Integration and Related Services,0.0
2025-12-01,Refilwe Dube,Software Integration and Related Services,0.0
2025-07-01,Chantelle Nel,Backup Storage & Management,0.0
2025-08-01,Chantelle Nel,Backup Storage & Management,2827.15
2025-09-01,Chantelle Nel,Backup Storage & Management,0.0
2025-10-01,Chantelle Nel,Backup Storage & Management,1288.47
2025-11-01,Chantelle Nel,Backup Storage & Management,1141.74
2025-12-01,Chantelle Nel,Backup Storage & Management,0.0
2025-07-01,Chantelle Nel,Image Processing,0.0
2025-08-01,Chantelle Nel,Image Processing,0.0
2025-09-01,Chantelle Nel,Image Processing,0.0
2025-10-01,Chantelle Nel,Image Processing,0.0
2025-11-01,Chantelle Nel,Image Processing,0.0
2025-12-01,Chantelle Nel,Image Processing,0.0
2025-07-01,Chantelle Nel,Records Management - New,1684.34
2025-08-01,Chantelle Nel,Records Management - New,0.0
2025-09-01,Chantelle Nel,Records Management - New,0.0
2025-10-01,Chantelle Nel,Records Management - New,150222.61
2025-11-01,Chantelle Nel,Records Management - New,179125.2
2025-12-01,Chantelle Nel,Records Management - New,160020.94
2025-07-01,Chantelle Nel,Records Management - Ongoing,0.0
2025-08-01,Chantelle Nel,Records Management - Ongoing,0.0
2025-09-01,Chantelle Nel,Records Management - Ongoing,0.0
2025-10-01,Chantelle Nel,Records Management - Ongoing,1116.58
2025-11-01,Chantelle Nel,Records Management - Ongoing,4174.76
2025-12-01,Chantelle Nel,Records Management - Ongoing,0.0
2025-07-01,Chantelle Nel,Software Integration and Related Services,0.0
2025-08-01,Chantelle Nel,Software Integration and Related Services,0.0
2025-09-01,Chantelle Nel,Software Integration and Related Services,0.0
2025-10-01,Chantelle Nel,Software Integration and Related Services,0.0
2025-11-01,Chantelle Nel,Software Integration and Related Services,0.0
2025-12-01,Chantelle Nel,Software Integration and Related Services,0.0
2025-07-01,Thandeka Ngcobo,Backup Storage & Management,2629.88
2025-08-01,Thandeka Ngcobo,Backup Storage & Management,2194.14
2025-09-01,Thandeka Ngcobo,Backup Storage & Management,2856.58
2025-10-01,Thandeka Ngcobo,Backup Storage & Management,0.0
2025-11-01,Thandeka Ngcobo,Backup Storage & Management,0.0
2025-12-01,Thandeka Ngcobo,Backup Storage & Management,3703.57
2025-07-01,Thandeka Ngcobo,Image Processing,0.0
2025-08-01,Thandeka Ngcobo,Image Processing,0.0
2025-09-01,Thandeka Ngcobo,Image Processing,3388.45
2025-10-01,Thandeka Ngcobo,Image Processing,0.0
2025-11-01,Thandeka Ngcobo,Image Processing,0.0
2025-12-01,Thandeka Ngcobo,Image Processing,0.0
2025-07-01,Thandeka Ngcobo,Records Management - New,787.32
2025-08-01,Thandeka Ngcobo,Records Management - New,2527.56
2025-09-01,Thandeka Ngcobo,Records Management - New,0.0
2025-10-01,Thandeka Ngcobo,Records Management - New,17343.53
2025-11-01,Thandeka Ngcobo,Records Management - New,13484.26
2025-12-01,Thandeka Ngcobo,Records Management - New,15858.04
2025-07-01,Thandeka Ngcobo,Records Management - Ongoing,0.0
2025-08-01,Thandeka Ngcobo,Records Management - Ongoing,0.0
2025-09-01,Thandeka Ngcobo,Records Management - Ongoing,0.0
2025-10-01,Thandeka Ngcobo,Records Management - Ongoing,0.0
2025-11-01,Thandeka Ngcobo,Records Management - Ongoing,3509.93
2025-12-01,Thandeka Ngcobo,Records Management - Ongoing,0.0
2025-07-01,Thandeka Ngcobo,Software Integration and Related Services,0.0
2025-08-01,Thandeka Ngcobo,Software Integration and Related Services,0.0
2025-09-01,Thandeka Ngcobo,Software Integration and Related Services,0.0
2025-10-01,Thandeka Ngcobo,Software Integration and Related Services,0.0
2025-11-01,Thandeka Ngcobo,Software Integration and Related Services,0.0
2025-12-01,Thandeka Ngcobo,Software Integration and Related Services,0.0
2025-07-01,Palesa Mahlangu,Backup Storage & Management,0.0
2025-08-01,Palesa Mahlangu,Backup Storage & Management,0.0
2025-09-01,Palesa Mahlangu,Backup Storage & Management,0.0
2025-10-01,Palesa Mahlangu,Backup Storage & Management,3673.47
2025-11-01,Palesa Mahlangu,Backup Storage & Management,0.0
2025-12-01,Palesa Mahlangu,Backup Storage & Management,1588.87
2025-07-01,Palesa Mahlangu,Image Processing,0.0
2025-08-01,Palesa Mahlangu,Image Processing,0.0
2025-09-01,Palesa Mahlangu,Image Processing,0.0
2025-10-01,Palesa Mahlangu,Image Processing,0.0
2025-11-01,Palesa Mahlangu,Image Processing,0.0
2025-12-01,Palesa Mahlangu,Image Processing,0.0
2025-07-01,Palesa Mahlangu,Records Management - New,2387.69
2025-08-01,Palesa Mahlangu,Records Management - New,0.0
2025-09-01,Palesa Mahlangu,Records Management - New,0.0
2025-10-01,Palesa Mahlangu,Records Management - New,30544.67
2025-11-01,Palesa Mahlangu,Records Management - New,94063.53
2025-12-01,Palesa Mahlangu,Records Management - New,190473.35
2025-07-01,Palesa Mahlangu,Records Management - Ongoing,0.0
2025-08-01,Palesa Mahlangu,Records Management - Ongoing,0.0
2025-09-01,Palesa Mahlangu,Records Management - Ongoing,0.0
2025-10-01,Palesa Mahlangu,Records Management - Ongoing,0.0
2025-11-01,Palesa Mahlangu,Records Management - Ongoing,0.0
2025-12-01,Palesa Mahlangu,Records Management - Ongoing,4378.29
2025-07-01,Palesa Mahlangu,Software Integration and Related Services,0.0
2025-08-01,Palesa Mahlangu,Software Integration and Related Services,0.0
2025-09-01,Palesa Mahlangu,Software Integration and Related Services,3184.27
2025-10-01,Palesa Mahlangu,Software Integration and Related Services,0.0
2025-11-01,Palesa Mahlangu,Software Integration and Related Services,0.0
2025-12-01,Palesa Mahlangu,Software Integration and Related Services,0.0
2025-07-01,Amanda Pillay,Backup Storage & Management,2337.91
2025-08-01,Amanda Pillay,Backup Storage & Management,0.0
2025-09-01,Amanda Pillay,Backup Storage & Management,1956.94
2025-10-01,Amanda Pillay,Backup Storage & Management,0.0
2025-11-01,Amanda Pillay,Backup Storage & Management,0.0
2025-12-01,Amanda Pillay,Backup Storage & Management,0.0
2025-07-01,Amanda Pillay,Image Processing,3114.09
2025-08-01,Amanda Pillay,Image Processing,2748.14
2025-09-01,Amanda Pillay,Image Processing,2125.22
2025-10-01,Amanda Pillay,Image Processing,0.0
2025-11-01,Amanda Pillay,Image Processing,0.0
2025-12-01,Amanda Pillay,Image Processing,1418.35
2025-07-01,Amanda Pillay,Records Management - New,0.0
2025-08-01,Amanda Pillay,Records Management - New,0.0
2025-09-01,Amanda Pillay,Records Management - New,0.0
2025-10-01,Amanda Pillay,Records Management - New,0.0
2025-11-01,Amanda Pillay,Records Management - New,0.0
2025-12-01,Amanda Pillay,Records Management - New,0.0
2025-07-01,Amanda Pillay,Records Management - Ongoing,2957.91
2025-08-01,Amanda Pillay,Records Management - Ongoing,0.0
2025-09-01,Amanda Pillay,Records Management - Ongoing,3466.56
2025-10-01,Amanda Pillay,Records Management - Ongoing,1084.25
2025-11-01,Amanda Pillay,Records Management - Ongoing,0.0
2025-12-01,Amanda Pillay,Records Management - Ongoing,0.0
2025-07-01,Amanda Pillay,Software Integration and Related Services,0.0
2025-08-01,Amanda Pillay,Software Integration and Related Services,0.0
2025-09-01,Amanda Pillay,Software Integration and Related Services,0.0
2025-10-01,Amanda Pillay,Software Integration and Related Services,0.0
2025-11-01,Amanda Pillay,Software Integration and Related Services,3717.93
2025-12-01,Amanda Pillay,Software Integration and Related Services,0.0
2025-07-01,Bongani Khumalo,Backup Storage & Management,0.0
2025-08-01,Bongani Khumalo,Backup Storage & Management,0.0
2025-09-01,Bongani Khumalo,Backup Storage & Management,0.0
2025-10-01,Bongani Khumalo,Backup Storage & Management,3699.49
2025-11-01,Bongani Khumalo,Backup Storage & Management,0.0
2025-12-01,Bongani Khumalo,Backup Storage & Management,0.0
2025-07-01,Bongani Khumalo,Image Processing,0.0
2025-08-01,Bongani Khumalo,Image Processing,0.0
2025-09-01,Bongani Khumalo,Image Processing,4693.63
2025-10-01,Bongani Khumalo,Image Processing,0.0
2025-11-01,Bongani Khumalo,Image Processing,2431.83
2025-12-01,Bongani Khumalo,Image Processing,0.0
2025-07-01,Bongani Khumalo,Records Management - New,0.0
2025-08-01,Bongani Khumalo,Records Management - New,0.0
2025-09-01,Bongani Khumalo,Records Management - New,585.51
2025-10-01,Bongani Khumalo,Records Management - New,0.0
2025-11-01,Bongani Khumalo,Records Management - New,42793.68
2025-12-01,Bongani Khumalo,Records Management - New,8600.93
2025-07-01,Bongani Khumalo,Records Management - Ongoing,1429.58
2025-08-01,Bongani Khumalo,Records Management - Ongoing,1947.79
2025-09-01,Bongani Khumalo,Records Management - Ongoing,842.71
2025-10-01,Bongani Khumalo,Records Management - Ongoing,0.0
2025-11-01,Bongani Khumalo,Records Management - Ongoing,4535.63
2025-12-01,Bongani Khumalo,Records Management - Ongoing,0.0
2025-07-01,Bongani Khumalo,Software Integration and Related Services,0.0
2025-08-01,Bongani Khumalo,Software Integration and Related Services,0.0
2025-09-01,Bongani Khumalo,Software Integration and Related Services,0.0
2025-10-01,Bongani Khumalo,Software Integration and Related Services,0.0
2025-11-01,Bongani Khumalo,Software Integration and Related Services,0.0
2025-12-01,Bongani Khumalo,Software Integration and Related Services,0.0
2025-07-01,Werner Botha,Backup Storage & Management,0.0
2025-08-01,Werner Botha,Backup Storage & Management,0.0
2025-09-01,Werner Botha,Backup Storage & Management,0.0
2025-10-01,Werner Botha,Backup Storage & Management,0.0
2025-11-01,Werner Botha,Backup Storage & Management,0.0
2025-12-01,Werner Botha,Backup Storage & Management,0.0
2025-07-01,Werner Botha,Image Processing,0.0
2025-08-01,Werner Botha,Image Processing,4038.44
2025-09-01,Werner Botha,Image Processing,1617.46
2025-10-01,Werner Botha,Image Processing,0.0
2025-11-01,Werner Botha,Image Processing,0.0
2025-12-01,Werner Botha,Image Processing,2846.86
2025-07-01,Werner Botha,Records Management - New,0.0
2025-08-01,Werner Botha,Records Management - New,0.0
2025-09-01,Werner Botha,Records Management - New,0.0
2025-10-01,Werner Botha,Records Management - New,0.0
2025-11-01,Werner Botha,Records Management - New,3481.82
2025-12-01,Werner Botha,Records Management - New,0.0
2025-07-01,Werner Botha,Records Management - Ongoing,0.0
2025-08-01,Werner Botha,Records Management - Ongoing,0.0
2025-09-01,Werner Botha,Records Management - Ongoing,0.0
2025-10-01,Werner Botha,Records Management - Ongoing,0.0
2025-11-01,Werner Botha,Records Management - Ongoing,4012.78
2025-12-01,Werner Botha,Records Management - Ongoing,0.0
2025-07-01,Werner Botha,Software Integration and Related Services,0.0
2025-08-01,Werner Botha,Software Integration and Related Services,0.0
2025-09-01,Werner Botha,Software Integration and Related Services,0.0
2025-10-01,Werner Botha,Software Integration and Related Services,4978.07
2025-11-01,Werner Botha,Software Integration and Related Services,0.0
2025-12-01,Werner Botha,Software Integration and Related Services,4252.52
2025-07-01,Lindiwe Zulu,Backup Storage & Management,0.0
2025-08-01,Lindiwe Zulu,Backup Storage & Management,4100.97
2025-09-01,Lindiwe Zulu,Backup Storage & Management,0.0
2025-10-01,Lindiwe Zulu,Backup Storage & Management,0.0
2025-11-01,Lindiwe Zulu,Backup Storage & Management,0.0
2025-12-01,Lindiwe Zulu,Backup Storage & Management,3497.24
2025-07-01,Lindiwe Zulu,Image Processing,1351.8
2025-08-01,Lindiwe Zulu,Image Processing,0.0
2025-09-01,Lindiwe Zulu,Image Processing,0.0
2025-10-01,Lindiwe Zulu,Image Processing,0.0
2025-11-01,Lindiwe Zulu,Image Processing,1045.05
2025-12-01,Lindiwe Zulu,Image Processing,0.0
2025-07-01,Lindiwe Zulu,Records Management - New,0.0
2025-08-01,Lindiwe Zulu,Records Management - New,0.0
2025-09-01,Lindiwe Zulu,Records Management - New,0.0
2025-10-01,Lindiwe Zulu,Records Management - New,0.0
2025-11-01,Lindiwe Zulu,Records Management - New,2516.13
2025-12-01,Lindiwe Zulu,Records Management - New,0.0
2025-07-01,Lindiwe Zulu,Records Management - Ongoing,0.0
2025-08-01,Lindiwe Zulu,Records Management - Ongoing,0.0
2025-09-01,Lindiwe Zulu,Records Management - Ongoing,0.0
2025-10-01,Lindiwe Zulu,Records Management - Ongoing,3176.62
2025-11-01,Lindiwe Zulu,Records Management - Ongoing,1002.57
2025-12-01,Lindiwe Zulu,Records Management - Ongoing,0.0
2025-07-01,Lindiwe Zulu,Software Integration and Related Services,0.0
2025-08-01,Lindiwe Zulu,Software Integration and Related Services,0.0
2025-09-01,Lindiwe Zulu,Software Integration and Related Services,4641.99
2025-10-01,Lindiwe Zulu,Software Integration and Related Services,0.0
2025-11-01,Lindiwe Zulu,Software Integration and Related Services,3771.75
2025-12-01,Lindiwe Zulu,Software Integration and Related Services,0.0
2025-07-01,Johan Pretorius,Backup Storage & Management,0.0
2025-08-01,Johan Pretorius,Backup Storage & Management,0.0
2025-09-01,Johan Pretorius,Backup Storage & Management,1998.87
2025-10-01,Johan Pretorius,Backup Storage & Management,0.0
2025-11-01,Johan Pretorius,Backup Storage & Management,0.0
2025-12-01,Johan Pretorius,Backup Storage & Management,0.0
2025-07-01,Johan Pretorius,Image Processing,1255.27
2025-08-01,Johan Pretorius,Image Processing,3095.9
2025-09-01,Johan Pretorius,Image Processing,3858.79
2025-10-01,Johan Pretorius,Image Processing,0.0
2025-11-01,Johan Pretorius,Image Processing,0.0
2025-12-01,Johan Pretorius,Image Processing,0.0
2025-07-01,Johan Pretorius,Records Management - New,0.0
2025-08-01,Johan Pretorius,Records Management - New,0.0
2025-09-01,Johan Pretorius,Records Management - New,0.0
2025-10-01,Johan Pretorius,Records Management - New,0.0
2025-11-01,Johan Pretorius,Records Management - New,0.0
2025-12-01,Johan Pretorius,Records Management - New,0.0
2025-07-01,Johan Pretorius,Records Management - Ongoing,0.0
2025-08-01,Johan Pretorius,Records Management - Ongoing,0.0
2025-09-01,Johan Pretorius,Records Management - Ongoing,0.0
2025-10-01,Johan Pretorius,Records Management - Ongoing,0.0
2025-11-01,Johan Pretorius,Records Management - Ongoing,0.0
2025-12-01,Johan Pretorius,Records Management - Ongoing,3844.12
2025-07-01,Johan Pretorius,Software Integration and Related Services,2179.33
2025-08-01,Johan Pretorius,Software Integration and Related Services,0.0
2025-09-01,Johan Pretorius,Software Integration and Related Services,0.0
2025-10-01,Johan Pretorius,Software Integration and Related Services,0.0
2025-11-01,Johan Pretorius,Software Integration and Related Services,1941.19
2025-12-01,Johan Pretorius,Software Integration and Related Services,0.0
2025-07-01,Zanele Mokwena,Backup Storage & Management,3776.22
2025-08-01,Zanele Mokwena,Backup Storage & Management,0.0
2025-09-01,Zanele Mokwena,Backup Storage & Management,0.0
2025-10-01,Zanele Mokwena,Backup Storage & Management,1730.23
2025-11-01,Zanele Mokwena,Backup Storage & Management,0.0
2025-12-01,Zanele Mokwena,Backup Storage & Management,0.0
2025-07-01,Zanele Mokwena,Image Processing,0.0
2025-08-01,Zanele Mokwena,Image Processing,0.0
2025-09-01,Zanele Mokwena,Image Processing,0.0
2025-10-01,Zanele Mokwena,Image Processing,3146.19
2025-11-01,Zanele Mokwena,Image Processing,0.0
2025-12-01,Zanele Mokwena,Image Processing,0.0
2025-07-01,Zanele Mokwena,Records Management - New,1506.63
2025-08-01,Zanele Mokwena,Records Management - New,1887.79
2025-09-01,Zanele Mokwena,Records Management - New,2630.93
2025-10-01,Zanele Mokwena,Records Management - New,0.0
2025-11-01,Zanele Mokwena,Records Management - New,0.0
2025-12-01,Zanele Mokwena,Records Management - New,0.0
2025-07-01,Zanele Mokwena,Records Management - Ongoing,1478.08
2025-08-01,Zanele Mokwena,Records Management - Ongoing,4772.58
2025-09-01,Zanele Mokwena,Records Management - Ongoing,0.0
2025-10-01,Zanele Mokwena,Records Management - Ongoing,0.0
2025-11-01,Zanele Mokwena,Records Management - Ongoing,0.0
2025-12-01,Zanele Mokwena,Records Management - Ongoing,1124.76
2025-07-01,Zanele Mokwena,Software Integration and Related Services,0.0
2025-08-01,Zanele Mokwena,Software Integration and Related Services,0.0
2025-09-01,Zanele Mokwena,Software Integration and Related Services,0.0
2025-10-01,Zanele Mokwena,Software Integration and Related Services,2691.39
2025-11-01,Zanele Mokwena,Software Integration and Related Services,0.0
2025-12-01,Zanele Mokwena,Software Integration and Related Services,4984.16
2025-07-01,Michael van der Berg,Backup Storage & Management,875.08
2025-08-01,Michael van der Berg,Backup Storage & Management,988.23
2025-09-01,Michael van der Berg,Backup Storage & Management,0.0
2025-10-01,Michael van der Berg,Backup Storage & Management,0.0
2025-11-01,Michael van der Berg,Backup Storage & Management,0.0
2025-12-01,Michael van der Berg,Backup Storage & Management,0.0
2025-07-01,Michael van der Berg,Image Processing,0.0
2025-08-01,Michael van der Berg,Image Processing,0.0
2025-09-01,Michael van der Berg,Image Processing,0.0
2025-10-01,Michael van der Berg,Image Processing,0.0
2025-11-01,Michael van der Berg,Image Processing,0.0
2025-12-01,Michael van der Berg,Image Processing,3733.53
2025-07-01,Michael van der Berg,Records Management - New,0.0
2025-08-01,Michael van der Berg,Records Management - New,4075.71
2025-09-01,Michael van der Berg,Records Management - New,4445.03
2025-10-01,Michael van der Berg,Records Management - New,0.0
2025-11-01,Michael van der Berg,Records Management - New,1394.02
2025-12-01,Michael van der Berg,Records Management - New,0.0
2025-07-01,Michael van der Berg,Records Management - Ongoing,2414.72
2025-08-01,Michael van der Berg,Records Management - Ongoing,3439.87
2025-09-01,Michael van der Berg,Records Management - Ongoing,0.0
2025-10-01,Michael van der Berg,Records Management - Ongoing,3223.54
2025-11-01,Michael van der Berg,Records Management - Ongoing,3745.92
2025-12-01,Michael van der Berg,Records Management - Ongoing,0.0
2025-07-01,Michael van der Berg,Software Integration and Related Services,0.0
2025-08-01,Michael van der Berg,Software Integration and Related Services,0.0
2025-09-01,Michael van der Berg,Software Integration and Related Services,0.0
2025-10-01,Michael van der Berg,Software Integration and Related Services,0.0
2025-11-01,Michael van der Berg,Software Integration and Related Services,0.0
2025-12-01,Michael van der Berg,Software Integration and Related Services,4642.09
2025-07-01,Precious Nkosi,Backup Storage & Management,4960.17
2025-08-01,Precious Nkosi,Backup Storage & Management,0.0
2025-09-01,Precious Nkosi,Backup Storage & Management,0.0
2025-10-01,Precious Nkosi,Backup Storage & Management,0.0
2025-11-01,Precious Nkosi,Backup Storage & Management,0.0
2025-12-01,Precious Nkosi,Backup Storage & Management,1533.63
2025-07-01,Precious Nkosi,Image Processing,2460.25
2025-08-01,Precious Nkosi,Image Processing,0.0
2025-09-01,Precious Nkosi,Image Processing,0.0
2025-10-01,Precious Nkosi,Image Processing,1863.46
2025-11-01,Precious Nkosi,Image Processing,0.0
2025-12-01,Precious Nkosi,Image Processing,0.0
2025-07-01,Precious Nkosi,Records Management - New,0.0
2025-08-01,Precious Nkosi,Records Management - New,0.0
2025-09-01,Precious Nkosi,Records Management - New,0.0
2025-10-01,Precious Nkosi,Records Management - New,0.0
2025-11-01,Precious Nkosi,Records Management - New,0.0
2025-12-01,Precious Nkosi,Records Management - New,0.0
2025-07-01,Precious Nkosi,Records Management - Ongoing,1323.8
2025-08-01,Precious Nkosi,Records Management - Ongoing,0.0
2025-09-01,Precious Nkosi,Records Management - Ongoing,4242.45
2025-10-01,Precious Nkosi,Records Management - Ongoing,0.0
2025-11-01,Precious Nkosi,Records Management - Ongoing,0.0
2025-12-01,Precious Nkosi,Records Management - Ongoing,0.0
2025-07-01,Precious Nkosi,Software Integration and Related Services,2955.59
2025-08-01,Precious Nkosi,Software Integration and Related Services,0.0
2025-09-01,Precious Nkosi,Software Integration and Related Services,0.0
2025-10-01,Precious Nkosi,Software Integration and Related Services,0.0
2025-11-01,Precious Nkosi,Software Integration and Related Services,1665.53
2025-12-01,Precious Nkosi,Software Integration and Related Services,835.63
2025-07-01,Grant Naidoo,Backup Storage & Management,0.0
2025-08-01,Grant Naidoo,Backup Storage & Management,0.0
2025-09-01,Grant Naidoo,Backup Storage & Management,0.0
2025-10-01,Grant Naidoo,Backup Storage & Management,0.0
2025-11-01,Grant Naidoo,Backup Storage & Management,0.0
2025-12-01,Grant Naidoo,Backup Storage & Management,0.0
2025-07-01,Grant Naidoo,Image Processing,0.0
2025-08-01,Grant Naidoo,Image Processing,0.0
2025-09-01,Grant Naidoo,Image Processing,0.0
2025-10-01,Grant Naidoo,Image Processing,0.0
2025-11-01,Grant Naidoo,Image Processing,0.0
2025-12-01,Grant Naidoo,Image Processing,0.0
2025-07-01,Grant Naidoo,Records Management - New,1174.18
2025-08-01,Grant Naidoo,Records Management - New,0.0
2025-09-01,Grant Naidoo,Records Management - New,0.0
2025-10-01,Grant Naidoo,Records Management - New,3987.17
2025-11-01,Grant Naidoo,Records Management - New,1484.82
2025-12-01,Grant Naidoo,Records Management - New,0.0
2025-07-01,Grant Naidoo,Records Management - Ongoing,0.0
2025-08-01,Grant Naidoo,Records Management - Ongoing,0.0
2025-09-01,Grant Naidoo,Records Management - Ongoing,3258.23
2025-10-01,Grant Naidoo,Records Management - Ongoing,0.0
2025-11-01,Grant Naidoo,Records Management - Ongoing,0.0
2025-12-01,Grant Naidoo,Records Management - Ongoing,0.0
2025-07-01,Grant Naidoo,Software Integration and Related Services,0.0
2025-08-01,Grant Naidoo,Software Integration and Related Services,1196.52
2025-09-01,Grant Naidoo,Software Integration and Related Services,0.0
2025-10-01,Grant Naidoo,Software Integration and Related Services,0.0
2025-11-01,Grant Naidoo,Software Integration and Related Services,0.0
2025-12-01,Grant Naidoo,Software Integration and Related Services,2429.85
2025-07-01,House Account,Backup Storage & Management,1909.92
2025-08-01,House Account,Backup Storage & Management,0.0
2025-09-01,House Account,Backup Storage & Management,1191.5
2025-10-01,House Account,Backup Storage & Management,0.0
2025-11-01,House Account,Backup Storage & Management,0.0
2025-12-01,House Account,Backup Storage & Management,2569.39
2025-07-01,House Account,Image Processing,842.21
2025-08-01,House Account,Image Processing,0.0
2025-09-01,House Account,Image Processing,0.0
2025-10-01,House Account,Image Processing,0.0
2025-11-01,House Account,Image Processing,0.0
2025-12-01,House Account,Image Processing,0.0
2025-07-01,House Account,Records Management - New,0.0
2025-08-01,House Account,Records Management - New,0.0
2025-09-01,House Account,Records Management - New,1831.58
2025-10-01,House Account,Records Management - New,0.0
2025-11-01,House Account,Records Management - New,4331.17
2025-12-01,House Account,Records Management - New,0.0
2025-07-01,House Account,Records Management - Ongoing,3214.66
2025-08-01,House Account,Records Management - Ongoing,0.0
2025-09-01,House Account,Records Management - Ongoing,0.0
