Month,Rep,Category,Actual Revenue (ZAR),Target Revenue (ZAR),Achievement %,Base Commission (ZAR)
2025-12-01,Refilwe Dube,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-07-01,Refilwe Dube,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-08-01,Refilwe Dube,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Refilwe Dube,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Refilwe Dube,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Refilwe Dube,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-12-01,Refilwe Dube,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Chantelle Nel,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-08-01,Chantelle Nel,Backup Storage & Management,2827.15,0.0,,141.36
2025-09-01,Chantelle Nel,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Chantelle Nel,Backup Storage & Management,1288.47,0.0,,64.42
2025-11-01,Chantelle Nel,Backup Storage & Management,1141.74,0.0,,57.09
2025-12-01,Chantelle Nel,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-07-01,Chantelle Nel,Image Processing,0.0,0.0,100.0,0.0
2025-08-01,Chantelle Nel,Image Processing,0.0,0.0,100.0,0.0
2025-09-01,Chantelle Nel,Image Processing,0.0,0.0,100.0,0.0
2025-10-01,Chantelle Nel,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Chantelle Nel,Image Processing,0.0,0.0,100.0,0.0
2025-12-01,Chantelle Nel,Image Processing,0.0,0.0,100.0,0.0
2025-07-01,Chantelle Nel,Records Management - New,1684.34,0.0,,84.22
2025-08-01,Chantelle Nel,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Chantelle Nel,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Chantelle Nel,Records Management - New,150222.61,158834.93000000002,94.6,7511.13
2025-11-01,Chantelle Nel,Records Management - New,179125.2,158834.93000000002,112.8,8956.26
2025-12-01,Chantelle Nel,Records Management - New,160020.94,158834.93000000002,100.7,8001.05
2025-07-01,Chantelle Nel,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-08-01,Chantelle Nel,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Chantelle Nel,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Chantelle Nel,Records Management - Ongoing,1116.58,0.0,,55.83
2025-11-01,Chantelle Nel,Records Management - Ongoing,4174.76,0.0,,208.74
2025-12-01,Chantelle Nel,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-07-01,Chantelle Nel,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-08-01,Chantelle Nel,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Chantelle Nel,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Chantelle Nel,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Chantelle Nel,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-12-01,Chantelle Nel,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Thandeka Ngcobo,Backup Storage & Management,2629.88,0.0,,131.49
2025-08-01,Thandeka Ngcobo,Backup Storage & Management,2194.14,0.0,,109.71
2025-09-01,Thandeka Ngcobo,Backup Storage & Management,2856.58,0.0,,142.83
2025-10-01,Thandeka Ngcobo,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-11-01,Thandeka Ngcobo,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-12-01,Thandeka Ngcobo,Backup Storage & Management,3703.57,0.0,,185.18
2025-07-01,Thandeka Ngcobo,Image Processing,0.0,0.0,100.0,0.0
2025-08-01,Thandeka Ngcobo,Image Processing,0.0,0.0,100.0,0.0
2025-09-01,Thandeka Ngcobo,Image Processing,3388.45,0.0,,169.42
2025-10-01,Thandeka Ngcobo,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Thandeka Ngcobo,Image Processing,0.0,0.0,100.0,0.0
2025-12-01,Thandeka Ngcobo,Image Processing,0.0,0.0,100.0,0.0
2025-07-01,Thandeka Ngcobo,Records Management - New,787.32,777.7800000000001,101.2,39.37
2025-08-01,Thandeka Ngcobo,Records Management - New,2527.56,0.0,,126.38
2025-09-01,Thandeka Ngcobo,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Thandeka Ngcobo,Records Management - New,17343.53,16810.28,103.2,867.18
2025-11-01,Thandeka Ngcobo,Records Management - New,13484.26,13937.69,96.7,674.21
2025-12-01,Thandeka Ngcobo,Records Management - New,15858.04,19642.47,80.7,792.9
2025-07-01,Thandeka Ngcobo,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-08-01,Thandeka Ngcobo,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Thandeka Ngcobo,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Thandeka Ngcobo,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-11-01,Thandeka Ngcobo,Records Management - Ongoing,3509.93,0.0,,175.5
2025-12-01,Thandeka Ngcobo,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-07-01,Thandeka Ngcobo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-08-01,Thandeka Ngcobo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Thandeka Ngcobo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Thandeka Ngcobo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Thandeka Ngcobo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-12-01,Thandeka Ngcobo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Palesa Mahlangu,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-08-01,Palesa Mahlangu,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Palesa Mahlangu,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Palesa Mahlangu,Backup Storage & Management,3673.47,0.0,,183.67
2025-11-01,Palesa Mahlangu,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-12-01,Palesa Mahlangu,Backup Storage & Management,1588.87,0.0,,79.44
2025-07-01,Palesa Mahlangu,Image Processing,0.0,0.0,100.0,0.0
2025-08-01,Palesa Mahlangu,Image Processing,0.0,0.0,100.0,0.0
2025-09-01,Palesa Mahlangu,Image Processing,0.0,0.0,100.0,0.0
2025-10-01,Palesa Mahlangu,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Palesa Mahlangu,Image Processing,0.0,0.0,100.0,0.0
2025-12-01,Palesa Mahlangu,Image Processing,0.0,0.0,100.0,0.0
2025-07-01,Palesa Mahlangu,Records Management - New,2387.69,0.0,,119.38
2025-08-01,Palesa Mahlangu,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Palesa Mahlangu,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Palesa Mahlangu,Records Management - New,30544.67,27256.82,112.1,1527.23
2025-11-01,Palesa Mahlangu,Records Management - New,94063.53,116972.1,80.4,4703.18
2025-12-01,Palesa Mahlangu,Records Management - New,190473.35,209029.0,91.1,9523.67
2025-07-01,Palesa Mahlangu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-08-01,Palesa Mahlangu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Palesa Mahlangu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Palesa Mahlangu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-11-01,Palesa Mahlangu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-12-01,Palesa Mahlangu,Records Management - Ongoing,4378.29,0.0,,218.91
2025-07-01,Palesa Mahlangu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-08-01,Palesa Mahlangu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Palesa Mahlangu,Software Integration and Related Services,3184.27,0.0,,159.21
2025-10-01,Palesa Mahlangu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Palesa Mahlangu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-12-01,Palesa Mahlangu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Amanda Pillay,Backup Storage & Management,2337.91,0.0,,116.9
2025-08-01,Amanda Pillay,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Amanda Pillay,Backup Storage & Management,1956.94,0.0,,97.85
2025-10-01,Amanda Pillay,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-11-01,Amanda Pillay,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-12-01,Amanda Pillay,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-07-01,Amanda Pillay,Image Processing,3114.09,0.0,,155.7
2025-08-01,Amanda Pillay,Image Processing,2748.14,0.0,,137.41
2025-09-01,Amanda Pillay,Image Processing,2125.22,0.0,,106.26
2025-10-01,Amanda Pillay,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Amanda Pillay,Image Processing,0.0,0.0,100.0,0.0
2025-12-01,Amanda Pillay,Image Processing,1418.35,0.0,,70.92
2025-07-01,Amanda Pillay,Records Management - New,0.0,0.0,100.0,0.0
2025-08-01,Amanda Pillay,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Amanda Pillay,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Amanda Pillay,Records Management - New,0.0,0.0,100.0,0.0
2025-11-01,Amanda Pillay,Records Management - New,0.0,0.0,100.0,0.0
2025-12-01,Amanda Pillay,Records Management - New,0.0,0.0,100.0,0.0
2025-07-01,Amanda Pillay,Records Management - Ongoing,2957.91,0.0,,147.9
2025-08-01,Amanda Pillay,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Amanda Pillay,Records Management - Ongoing,3466.56,0.0,,173.33
2025-10-01,Amanda Pillay,Records Management - Ongoing,1084.25,0.0,,54.21
2025-11-01,Amanda Pillay,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-12-01,Amanda Pillay,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-07-01,Amanda Pillay,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-08-01,Amanda Pillay,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Amanda Pillay,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Amanda Pillay,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Amanda Pillay,Software Integration and Related Services,3717.93,0.0,,185.9
2025-12-01,Amanda Pillay,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Bongani Khumalo,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-08-01,Bongani Khumalo,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Bongani Khumalo,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Bongani Khumalo,Backup Storage & Management,3699.49,0.0,,184.97
2025-11-01,Bongani Khumalo,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-12-01,Bongani Khumalo,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-07-01,Bongani Khumalo,Image Processing,0.0,0.0,100.0,0.0
2025-08-01,Bongani Khumalo,Image Processing,0.0,0.0,100.0,0.0
2025-09-01,Bongani Khumalo,Image Processing,4693.63,0.0,,234.68
2025-10-01,Bongani Khumalo,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Bongani Khumalo,Image Processing,2431.83,0.0,,121.59
2025-12-01,Bongani Khumalo,Image Processing,0.0,0.0,100.0,0.0
2025-07-01,Bongani Khumalo,Records Management - New,0.0,0.0,100.0,0.0
2025-08-01,Bongani Khumalo,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Bongani Khumalo,Records Management - New,585.51,0.0,,29.28
2025-10-01,Bongani Khumalo,Records Management - New,0.0,0.0,100.0,0.0
2025-11-01,Bongani Khumalo,Records Management - New,42793.68,39418.64,108.6,2139.68
2025-12-01,Bongani Khumalo,Records Management - New,8600.93,7725.6,111.3,430.05
2025-07-01,Bongani Khumalo,Records Management - Ongoing,1429.58,0.0,,71.48
2025-08-01,Bongani Khumalo,Records Management - Ongoing,1947.79,0.0,,97.39
2025-09-01,Bongani Khumalo,Records Management - Ongoing,842.71,0.0,,42.14
2025-10-01,Bongani Khumalo,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-11-01,Bongani Khumalo,Records Management - Ongoing,4535.63,0.0,,226.78
2025-12-01,Bongani Khumalo,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-07-01,Bongani Khumalo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-08-01,Bongani Khumalo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Bongani Khumalo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Bongani Khumalo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Bongani Khumalo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-12-01,Bongani Khumalo,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Werner Botha,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-08-01,Werner Botha,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Werner Botha,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Werner Botha,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-11-01,Werner Botha,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-12-01,Werner Botha,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-07-01,Werner Botha,Image Processing,0.0,0.0,100.0,0.0
2025-08-01,Werner Botha,Image Processing,4038.44,0.0,,201.92
2025-09-01,Werner Botha,Image Processing,1617.46,0.0,,80.87
2025-10-01,Werner Botha,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Werner Botha,Image Processing,0.0,0.0,100.0,0.0
2025-12-01,Werner Botha,Image Processing,2846.86,0.0,,142.34
2025-07-01,Werner Botha,Records Management - New,0.0,0.0,100.0,0.0
2025-08-01,Werner Botha,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Werner Botha,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Werner Botha,Records Management - New,0.0,0.0,100.0,0.0
2025-11-01,Werner Botha,Records Management - New,3481.82,0.0,,174.09
2025-12-01,Werner Botha,Records Management - New,0.0,0.0,100.0,0.0
2025-07-01,Werner Botha,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-08-01,Werner Botha,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Werner Botha,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Werner Botha,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-11-01,Werner Botha,Records Management - Ongoing,4012.78,0.0,,200.64
2025-12-01,Werner Botha,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-07-01,Werner Botha,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-08-01,Werner Botha,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Werner Botha,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Werner Botha,Software Integration and Related Services,4978.07,0.0,,248.9
2025-11-01,Werner Botha,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-12-01,Werner Botha,Software Integration and Related Services,4252.52,0.0,,212.63
2025-07-01,Lindiwe Zulu,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-08-01,Lindiwe Zulu,Backup Storage & Management,4100.97,0.0,,205.05
2025-09-01,Lindiwe Zulu,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Lindiwe Zulu,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-11-01,Lindiwe Zulu,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-12-01,Lindiwe Zulu,Backup Storage & Management,3497.24,0.0,,174.86
2025-07-01,Lindiwe Zulu,Image Processing,1351.8,0.0,,67.59
2025-08-01,Lindiwe Zulu,Image Processing,0.0,0.0,100.0,0.0
2025-09-01,Lindiwe Zulu,Image Processing,0.0,0.0,100.0,0.0
2025-10-01,Lindiwe Zulu,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Lindiwe Zulu,Image Processing,1045.05,0.0,,52.25
2025-12-01,Lindiwe Zulu,Image Processing,0.0,0.0,100.0,0.0
2025-07-01,Lindiwe Zulu,Records Management - New,0.0,0.0,100.0,0.0
2025-08-01,Lindiwe Zulu,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Lindiwe Zulu,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Lindiwe Zulu,Records Management - New,0.0,0.0,100.0,0.0
2025-11-01,Lindiwe Zulu,Records Management - New,2516.13,0.0,,125.81
2025-12-01,Lindiwe Zulu,Records Management - New,0.0,0.0,100.0,0.0
2025-07-01,Lindiwe Zulu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-08-01,Lindiwe Zulu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Lindiwe Zulu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Lindiwe Zulu,Records Management - Ongoing,3176.62,0.0,,158.83
2025-11-01,Lindiwe Zulu,Records Management - Ongoing,1002.57,0.0,,50.13
2025-12-01,Lindiwe Zulu,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-07-01,Lindiwe Zulu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-08-01,Lindiwe Zulu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Lindiwe Zulu,Software Integration and Related Services,4641.99,0.0,,232.1
2025-10-01,Lindiwe Zulu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Lindiwe Zulu,Software Integration and Related Services,3771.75,0.0,,188.59
2025-12-01,Lindiwe Zulu,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Johan Pretorius,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-08-01,Johan Pretorius,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Johan Pretorius,Backup Storage & Management,1998.87,0.0,,99.94
2025-10-01,Johan Pretorius,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-11-01,Johan Pretorius,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-12-01,Johan Pretorius,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-07-01,Johan Pretorius,Image Processing,1255.27,0.0,,62.76
2025-08-01,Johan Pretorius,Image Processing,3095.9,0.0,,154.8
2025-09-01,Johan Pretorius,Image Processing,3858.79,0.0,,192.94
2025-10-01,Johan Pretorius,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Johan Pretorius,Image Processing,0.0,0.0,100.0,0.0
2025-12-01,Johan Pretorius,Image Processing,0.0,0.0,100.0,0.0
2025-07-01,Johan Pretorius,Records Management - New,0.0,0.0,100.0,0.0
2025-08-01,Johan Pretorius,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Johan Pretorius,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Johan Pretorius,Records Management - New,0.0,0.0,100.0,0.0
2025-11-01,Johan Pretorius,Records Management - New,0.0,0.0,100.0,0.0
2025-12-01,Johan Pretorius,Records Management - New,0.0,0.0,100.0,0.0
2025-07-01,Johan Pretorius,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-08-01,Johan Pretorius,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Johan Pretorius,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Johan Pretorius,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-11-01,Johan Pretorius,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-12-01,Johan Pretorius,Records Management - Ongoing,3844.12,0.0,,192.21
2025-07-01,Johan Pretorius,Software Integration and Related Services,2179.33,0.0,,108.97
2025-08-01,Johan Pretorius,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Johan Pretorius,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Johan Pretorius,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Johan Pretorius,Software Integration and Related Services,1941.19,0.0,,97.06
2025-12-01,Johan Pretorius,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Zanele Mokwena,Backup Storage & Management,3776.22,0.0,,188.81
2025-08-01,Zanele Mokwena,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Zanele Mokwena,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Zanele Mokwena,Backup Storage & Management,1730.23,0.0,,86.51
2025-11-01,Zanele Mokwena,Backup Storage & Management,0.0,0.0,100.0,0.0
